P_id,start_time,end_time,mean_GSR,std_GSR,mean_HR,std_HR,mean_Valence,std_Valence,median_Valence,mean_Arousal,std_Arousal,median_Arousal,videoID,change_score,Valence,Arousal,Index
1,1.69582E+12,1.69582E+12,555.64,0.631,215.4,0.782,7.4,0,7.4,6.87,0,6.87,5,0.670480498,1,1,130
1,1.69582E+12,1.69582E+12,554.9,0.863,215.22,0.679,7.4,0,7.4,6.87,0,6.87,5,1.581883575,1,1,131
1,1.69582E+12,1.69582E+12,550.1,1.111,215.3,0.58,7.4,0,7.4,6.87,0,6.87,5,6.848816944,1,1,132
1,1.69582E+12,1.69582E+12,552.3,0.789,215.28,0.607,7.67,0,7.67,6.87,0,6.87,5,4.665501141,1,1,133
1,1.69582E+12,1.69582E+12,552.86,0.857,215.18,0.596,7.67,0,7.67,6.87,0,6.87,5,1.114528622,1,1,134
1,1.69582E+12,1.69582E+12,552.32,1.584,215.36,0.749,7.67,0,7.67,6.87,0,6.87,5,0.368842913,1,1,135
1,1.69582E+12,1.69582E+12,548.3,0.814,215.24,0.744,7.67,0,7.67,6.87,0,6.87,5,4.661446846,1,1,136
1,1.69582E+12,1.69582E+12,547.82,1.101,215.4,0.782,7.67,0,7.67,6.87,0,6.87,5,0.221261188,1,1,137
1,1.69582E+12,1.69582E+12,547.72,0.97,215.3,0.886,7.67,0,7.67,6.87,0,6.87,5,4.27E-05,1,1,138
1,1.69582E+12,1.69582E+12,549.36,0.802,215.4,0.639,7.67,0,7.67,6.87,0,6.87,5,3.142189129,1,1,139
1,1.69582E+12,1.69582E+12,549.9,0.839,215.26,0.694,7.67,0,7.67,6.87,0,6.87,5,0.280834926,1,1,140
1,1.69582E+12,1.69582E+12,551.64,0.802,215.04,0.669,7.67,0,7.67,6.87,0,6.87,5,2.87118387,1,1,141
1,1.69582E+12,1.69582E+12,550.8,0.808,215.28,0.671,7.67,0,7.67,7.13,0,7.13,5,1.882718956,1,1,142
1,1.69582E+12,1.69582E+12,550.74,0.803,215.34,0.688,7.265,0.191,7.265,7.13,0,7.13,5,1.24E-08,1,1,143
1,1.69582E+12,1.69582E+12,550.64,0.525,215.24,0.797,7.265,0.191,7.265,7.13,0,7.13,5,0.065129024,1,1,144
1,1.69582E+12,1.69582E+12,551.28,0.904,215.28,0.809,6.6,0.27,6.6,7.13,0,7.13,5,2.187566677,1,1,145
1,1.69582E+12,1.69582E+12,552.66,0.895,215.16,0.738,6.6,0.27,6.6,7.13,0,7.13,5,1.601159548,1,1,146
1,1.69582E+12,1.69582E+12,553.7,0.789,215.36,0.776,6.33,0,6.33,6.87,0,6.87,5,1.886171763,1,1,147
1,1.69582E+12,1.69582E+12,554.76,0.797,215.14,0.67,6.33,0,6.33,6.87,0,6.87,5,2.298060694,1,1,148
1,1.69582E+12,1.69582E+12,555.6,0.833,215.3,0.886,6.33,0,6.33,6.87,0,6.87,5,1.909609072,1,1,149
1,1.69582E+12,1.69582E+12,556.6,0.67,215.24,0.687,6.33,0,6.33,6.87,0,6.87,5,1.603674484,1,1,150
1,1.69582E+12,1.69582E+12,557.62,0.753,215.28,0.573,6.735,0.191,6.735,6.87,0,6.87,5,1.807413297,1,1,151
1,1.69582E+12,1.69582E+12,558.6,0.857,215.38,0.667,7.13,0,7.13,6.87,0,6.87,5,0.652490162,1,1,152
1,1.69582E+12,1.69582E+12,500.16,4.478,219.9,0.647,5.27,0,5.27,5.135,0.191,5.135,6,3.486473445,1,1,153
1,1.69582E+12,1.69582E+12,505.34,2.592,219.48,0.762,5.801,0.481,5.8,6.466,0.502,6.465,6,3.486473445,1,1,154
1,1.69582E+12,1.69582E+12,508.64,1.29,219.28,0.757,5.801,0.481,5.8,6.466,0.502,6.465,6,2.916301241,1,1,155
1,1.69582E+12,1.69582E+12,510.46,2.022,219.14,0.67,7.312,0.324,7.265,7,0.142,7,6,1.12378077,1,1,156
1,1.69582E+12,1.69582E+12,516.26,1.759,219.16,0.681,7.93,0,7.93,7.13,0,7.13,6,6.652114253,1,1,157
1,1.69582E+12,1.69582E+12,520.78,1.447,219.02,0.742,7.93,0,7.93,7.13,0,7.13,6,1.833608727,1,1,158
